bank_transaction_id,account_reference,transaction_date,value_date,transaction_type,description,reference_number,credit_amount,debit_amount,currency,balance_after_transaction,bank_branch,transaction_status
BTX100084,AC1010,2026-08-11,2026-08-12,ATM,Merchant settlement,REF71045700,0.0,31020.47,INR,48589.6,BLR03,POSTED
BTX100054,AC1010,2026-08-16,2026-08-17,CARD,Transfer,REF83300637,690.73,0.0,INR,400934.74,MUMBAI02,PENDING
BTX100071,AC1004,2026-08-24,2026-08-24,NEFT,Refund,REF58436637,44321.62,0.0,INR,93823.56,DELHI01,REVERSED
BTX100046,AC1003,2026-08-10,2026-08-10,BANK_TRANSFER,Subscription debit,REF40150759,38780.04,0.0,INR,404248.63,MUMBAI02,POSTED
BTX100045,AC1015,2026-08-07,2026-08-08,CARD,Refund,REF78608612,32384.14,0.0,INR,239227.16,MUMBAI02,POSTED
BTX100040,AC1002,2026-08-06,2026-08-06,ATM,Utility payment,REF56397338,43649.08,0.0,INR,365629.81,BLR03,PENDING
BTX100023,AC1003,2026-08-02,2026-08-02,IMPS,Utility payment,REF75181648,48997.83,0.0,INR,243272.42,HYD04,POSTED
BTX100081,AC1015,2026-08-31,2026-08-31,ATM,Merchant settlement,REF67985905,0.0,20600.4,INR,368594.29,PUNE05,POSTED
BTX100011,AC1020,2026-08-05,2026-08-05,CARD,Utility payment,REF89978790,0.0,47151.59,INR,498080.08,PUNE05,POSTED
BTX100001,AC1008,2026-08-21,2026-08-21,IMPS,Customer payment,REF83197857,8572.0,0.0,INR,48034.72,HYD04,POSTED
BTX100019,AC1011,2026-08-08,2026-08-08,ATM,Refund,REF47376585,5288.17,0.0,INR,336144.0,MUMBAI02,REVERSED
BTX100031,AC1018,2026-08-20,2026-08-21,BANK_TRANSFER,Customer payment,REF28024248,73793.03,0.0,INR,135910.63,DELHI01,REVERSED
BTX100074,AC1016,2026-08-04,2026-08-04,ATM,Merchant settlement,REF30364454,0.0,61703.14,INR,78852.8,PUNE05,POSTED
BTX100034,AC1004,2026-08-18,2026-08-18,BANK_TRANSFER,Vendor payment,REF83227889,52998.64,0.0,INR,22833.93,BLR03,REVERSED
BTX100091,AC1005,2026-08-27,2026-08-28,ATM,Platform payout,REF56321751,0.0,44123.59,INR,169557.78,PUNE05,PENDING
BTX100005,AC1020,2026-08-30,2026-08-31,ATM,Refund,REF19335534,28545.44,0.0,INR,27683.07,MUMBAI02,POSTED
BTX100077,AC1006,2026-08-21,2026-08-21,IMPS,Transfer,REF20075036,16024.13,0.0,INR,82483.64,HYD04,PENDING
BTX100078,AC1002,2026-08-23,2026-08-23,NEFT,Subscription debit,REF70939053,44637.39,0.0,INR,40233.98,MUMBAI02,POSTED
BTX100013,AC1017,2026-08-01,2026-08-01,ATM,Customer payment,REF93926371,71547.74,0.0,INR,152730.17,PUNE05,REVERSED
BTX100032,AC1011,2026-08-05,2026-08-05,BANK_TRANSFER,Subscription debit,REF77834855,20608.03,0.0,INR,246823.27,DELHI01,POSTED
BTX100056,AC1019,2026-08-18,2026-08-20,BANK_TRANSFER,Merchant settlement,REF21267237,0.0,2265.74,INR,323161.08,MUMBAI02,PENDING
BTX100089,AC1016,2026-08-23,2026-08-23,CARD,Transfer,REF29413516,0.0,20688.51,INR,194875.08,PUNE05,REVERSED
