gateway_transaction_id,gateway_reference,merchant_id,customer_reference,transaction_date,transaction_type,payment_method,transaction_amount,currency,gateway_fee,net_amount,gateway_status
GTX200009,REF72005415,MER1013,CUST49989,2026-08-04,BANK_TRANSFER,NETBANKING,72771.31,INR,1123.11,71648.2,FAILED
GTX200071,REF70407340,MER1007,CUST13389,2026-08-27,IMPS,UPI,54015.73,INR,715.41,53300.32,SUCCESS
GTX200083,GWREF28867317,MER1014,CUST10696,2026-08-26,ATM,CARD,59395.77,INR,1234.05,58161.72,SUCCESS
GTX200029,REF54446182,MER1001,CUST77986,2026-08-09,CARD,WALLET,64860.38,INR,1021.6,63838.78,SUCCESS
GTX200064,REF83227889,MER1003,CUST79629,2026-08-18,BANK_TRANSFER,CARD,52998.64,INR,585.9,52412.74,FAILED
GTX200001,REF89978790,MER1005,CUST21427,2026-08-04,CARD,WALLET,47126.59,INR,486.87,46639.72,SUCCESS
GTX200006,REF71045700,MER1012,CUST68762,2026-08-11,ATM,UPI,31020.47,INR,716.82,30303.65,SUCCESS
GTX200051,REF20075036,MER1002,CUST44788,2026-08-21,IMPS,NETBANKING,16024.13,INR,97.72,15926.41,FAILED
GTX200082,GWREF37642288,MER1007,CUST33566,2026-08-22,NEFT,WALLET,43721.28,INR,328.91,43392.37,FAILED
GTX200005,REF83542887,MER1015,CUST88328,2026-08-22,NEFT,WALLET,56173.06,INR,359.37,55813.69,SUCCESS
GTX200024,REF34744872,MER1007,CUST19631,2026-08-28,CARD,WALLET,1149.34,INR,6.42,1142.92,SUCCESS
GTX200066,REF47376585,MER1009,CUST83059,2026-08-08,ATM,NETBANKING,5288.17,INR,111.83,5176.34,PENDING
GTX200077,REF95756900,MER1007,CUST20101,2026-08-21,ATM,WALLET,41108.21,INR,919.54,40188.67,SUCCESS
GTX200061,REF19335534,MER1004,CUST18209,2026-08-30,ATM,NETBANKING,28545.44,INR,305.49,28239.95,FAILED
GTX200025,REF79519112,MER1005,CUST71932,2026-08-13,IMPS,UPI,18487.84,INR,370.06,18117.78,SUCCESS
GTX200043,REF75437844,MER1005,CUST85752,2026-08-20,NEFT,WALLET,50197.09,INR,592.85,49604.24,SUCCESS
GTX200078,REF64807553,MER1003,CUST72343,2026-08-06,CARD,UPI,74771.67,INR,562.25,74209.42,FAILED
GTX200039,REF32151928,MER1004,CUST76208,2026-08-07,NEFT,CARD,20651.91,INR,416.39,20235.52,SUCCESS
GTX200057,REF24972279,MER1012,CUST27287,2026-08-18,NEFT,WALLET,64593.28,INR,1014.25,63579.03,FAILED
GTX200076,REF11698142,MER1004,CUST76919,2026-08-12,BANK_TRANSFER,WALLET,40072.71,INR,513.47,39559.24,SUCCESS
GTX200036,REF55667651,MER1009,CUST58365,2026-08-08,BANK_TRANSFER,CARD,33828.38,INR,773.61,33054.77,SUCCESS
GTX200089,GWREF18170504,MER1001,CUST82111,2026-08-05,BANK_TRANSFER,UPI,20754.77,INR,149.57,20605.2,SUCCESS
GTX200020,REF82399599,MER1008,CUST35320,2026-08-24,CARD,UPI,71352.51,INR,722.6,70629.91,SUCCESS
GTX200030,REF58024342,MER1015,CUST95974,2026-08-18,NEFT,NETBANKING,11320.01,INR,232.32,11087.69,FAILED
GTX200032,REF65133300,MER1003,CUST87240,2026-08-15,CARD,WALLET,69980.71,INR,954.79,69025.92,REFUNDED
GTX200092,GWREF59357880,MER1006,CUST92062,2026-08-12,IMPS,CARD,46791.88,INR,1026.15,45765.73,SUCCESS
GTX200086,GWREF71919280,MER1003,CUST97601,2026-08-14,IMPS,UPI,72043.87,INR,877.4,71166.47,SUCCESS
GTX200010,REF78608612,MER1004,CUST89810,2026-08-07,CARD,NETBANKING,32384.14,INR,170.05,32214.09,REFUNDED
GTX200054,REF22660194,MER1014,CUST67569,2026-08-05,CARD,NETBANKING,54320.6,INR,541.48,53779.12,REFUNDED
GTX200042,REF76890827,MER1003,CUST73433,2026-08-03,BANK_TRANSFER,WALLET,17046.37,INR,334.3,16712.07,SUCCESS
GTX200022,REF84593961,MER1002,CUST90948,2026-08-06,NEFT,UPI,28578.24,INR,434.57,28143.67,REFUNDED
GTX200091,GWREF96008576,MER1014,CUST81189,2026-08-01,UPI,NETBANKING,7076.68,INR,165.05,6911.63,PENDING
GTX200034,REF61344226,MER1012,CUST97665,2026-08-17,UPI,WALLET,31050.87,INR,343.92,30706.95,SUCCESS
GTX200070,REF40150759,MER1004,CUST14922,2026-08-10,BANK_TRANSFER,CARD,38198.34,INR,886.22,37312.12,SUCCESS
GTX200085,GWREF36953743,MER1011,CUST63040,2026-08-19,BANK_TRANSFER,UPI,51873.43,INR,317.85,51555.58,SUCCESS
GTX200088,GWREF11280634,MER1005,CUST52910,2026-08-20,CARD,WALLET,52029.67,INR,619.73,51409.94,SUCCESS
GTX200096,GWREF90038034,MER1012,CUST79998,2026-08-14,UPI,CARD,32809.19,INR,425.91,32383.28,REFUNDED
GTX200098,GWREF48023825,MER1011,CUST82459,2026-08-23,NEFT,CARD,44637.39,INR,568.94,44068.45,SUCCESS
GTX200063,REF93926371,MER1011,CUST31596,2026-08-01,ATM,CARD,71547.74,INR,424.45,71123.29,PENDING
GTX200013,REF93352876,MER1003,CUST20827,2026-08-15,NEFT,WALLET,68160.7,INR,1237.9,66922.8,SUCCESS
GTX200021,REF31831063,MER1011,CUST45642,2026-08-03,CARD,WALLET,64185.0,INR,1135.14,63049.86,SUCCESS
GTX200090,GWREF48663829,MER1004,CUST26398,2026-08-25,ATM,UPI,40069.79,INR,829.44,39240.35,PENDING
GTX200038,REF20570592,MER1005,CUST62188,2026-08-29,IMPS,UPI,73902.77,INR,1756.32,72146.45,SUCCESS
GTX200060,REF68246664,MER1013,CUST47841,2026-08-02,BANK_TRANSFER,UPI,46405.09,INR,529.6,45875.49,FAILED
GTX200002,REF26690465,MER1007,CUST80281,2026-08-03,NEFT,NETBANKING,4707.94,INR,55.63,4652.31,SUCCESS
GTX200075,REF67985905,MER1012,CUST57386,2026-08-31,ATM,CARD,20600.4,INR,294.95,20305.45,FAILED
GTX200012,REF49491631,MER1006,CUST76855,2026-08-18,UPI,UPI,56922.81,INR,1249.28,55673.53,REFUNDED
GTX200080,GWREF48756252,MER1006,CUST37967,2026-08-31,BANK_TRANSFER,WALLET,16081.92,INR,381.66,15700.26,SUCCESS
GTX200015,REF34850391,MER1008,CUST60810,2026-08-10,UPI,NETBANKING,19042.42,INR,101.42,18941.0,PENDING
GTX200055,REF75181648,MER1008,CUST75666,2026-08-02,IMPS,NETBANKING,48997.83,INR,575.41,48422.42,SUCCESS
GTX200017,REF95511909,MER1004,CUST63178,2026-08-21,NEFT,UPI,31912.29,INR,567.27,31345.02,FAILED
GTX200027,REF12621534,MER1015,CUST64924,2026-08-18,CARD,UPI,35077.84,INR,678.91,34398.93,REFUNDED
GTX200052,REF15957459,MER1010,CUST60910,2026-08-20,IMPS,NETBANKING,73796.63,INR,527.6,73269.03,PENDING
GTX200046,REF99501846,MER1002,CUST16872,2026-08-30,CARD,NETBANKING,43841.0,INR,974.71,42866.29,SUCCESS
GTX200007,REF56397338,MER1011,CUST28635,2026-08-06,ATM,CARD,43649.08,INR,907.96,42741.12,SUCCESS
GTX200099,GWREF14176548,MER1013,CUST91970,2026-08-29,IMPS,CARD,52444.19,INR,1080.45,51363.74,SUCCESS
GTX200031,REF29413516,MER1006,CUST26576,2026-08-23,CARD,NETBANKING,20688.51,INR,317.4,20371.11,REFUNDED
GTX200045,REF83300637,MER1015,CUST88800,2026-08-16,CARD,WALLET,690.73,INR,8.2,682.53,PENDING
GTX200073,REF58112135,MER1012,CUST67103,2026-08-06,UPI,NETBANKING,52126.59,INR,1227.24,50899.35,SUCCESS
GTX200044,REF45859307,MER1014,CUST75700,2026-08-24,NEFT,CARD,65979.64,INR,1134.52,64845.12,SUCCESS
GTX200016,REF45935572,MER1002,CUST92354,2026-08-08,NEFT,NETBANKING,51424.92,INR,270.32,51154.6,SUCCESS
GTX200095,GWREF34650855,MER1010,CUST52682,2026-08-15,IMPS,WALLET,10728.63,INR,238.2,10490.43,REFUNDED
GTX200019,REF31931511,MER1008,CUST59622,2026-08-23,ATM,WALLET,70264.93,INR,413.34,69851.59,SUCCESS
GTX200014,REF55298556,MER1006,CUST54160,2026-08-06,CARD,WALLET,4008.78,INR,90.91,3917.87,REFUNDED
GTX200023,REF77834855,MER1002,CUST20866,2026-08-05,BANK_TRANSFER,WALLET,20608.03,INR,472.95,20135.08,PENDING
GTX200011,REF84411983,MER1009,CUST66935,2026-08-17,BANK_TRANSFER,WALLET,23369.03,INR,360.17,23008.86,FAILED
GTX200059,REF93394260,MER1010,CUST14214,2026-08-21,IMPS,WALLET,5379.22,INR,81.13,5298.09,PENDING
GTX200072,REF20043277,MER1009,CUST13925,2026-08-04,CARD,UPI,39564.84,INR,929.51,38635.33,SUCCESS
GTX200065,REF21003626,MER1004,CUST47020,2026-08-04,UPI,UPI,70634.31,INR,499.0,70135.31,PENDING
GTX200004,REF76238574,MER1004,CUST31466,2026-08-24,IMPS,UPI,43947.8,INR,1015.99,42931.81,SUCCESS
GTX200041,REF21267237,MER1002,CUST54714,2026-08-18,BANK_TRANSFER,CARD,2265.74,INR,53.44,2212.3,PENDING
GTX200035,REF36687537,MER1009,CUST52579,2026-08-01,UPI,CARD,7243.72,INR,85.99,7157.73,SUCCESS
GTX200028,REF83197857,MER1003,CUST58773,2026-08-21,IMPS,CARD,8572.0,INR,170.43,8401.57,REFUNDED
GTX200053,REF15831819,MER1013,CUST52558,2026-08-04,ATM,CARD,7182.75,INR,128.83,7053.92,SUCCESS
GTX200008,REF17672593,MER1005,CUST66444,2026-08-07,UPI,WALLET,22428.91,INR,231.16,22197.75,SUCCESS
GTX200049,REF56321751,MER1014,CUST64359,2026-08-27,ATM,WALLET,44123.59,INR,662.27,43461.32,SUCCESS
GTX200062,REF24665841,MER1006,CUST65702,2026-08-14,CARD,UPI,30979.9,INR,531.03,30448.87,FAILED
GTX200094,GWREF57049001,MER1009,CUST10379,2026-08-30,UPI,NETBANKING,63990.81,INR,422.19,63568.62,REFUNDED
