ledger_entry_id,transaction_reference,merchant_id,ledger_date,entry_type,account_code,recorded_amount,currency,fee_recorded,ledger_status,journal_reference
LED300066,REF84411983,MER1009,2026-08-17,CREDIT,RECEIVABLE,23008.86,INR,360.17,FAILED,JRNL3440761
LED300072,REF36687537,MER1009,2026-08-01,CREDIT,RECEIVABLE,7243.72,INR,85.99,POSTED,JRNL6103962
LED300037,GWREF90038034,MER1012,2026-08-14,CREDIT,SALES,32809.19,INR,425.91,REFUNDED,JRNL1400258
LED300014,REF19335534,MER1004,2026-08-30,DEBIT,SALES,28239.95,INR,305.49,FAILED,JRNL7089069
LED300041,REF31831063,MER1011,2026-08-03,CREDIT,PAYOUT,64185.0,INR,1135.14,POSTED,JRNL3083222
LED300033,REF61344226,MER1012,2026-08-17,CREDIT,RECEIVABLE,31050.87,INR,343.92,POSTED,JRNL5533769
LED300068,REF20043277,MER1009,2026-08-04,CREDIT,PAYOUT,39564.84,INR,929.51,POSTED,JRNL9414893
LED300088,LEDGERREF31652990,MER1009,2026-08-29,CREDIT,SALES,40576.38,INR,564.73,POSTED,JRNL7287324
LED300002,REF70407340,MER1007,2026-08-27,CREDIT,REFUND,54015.73,INR,715.41,POSTED,JRNL7553334
LED300086,LEDGERREF92178386,MER1014,2026-08-24,CREDIT,RECEIVABLE,44321.62,INR,874.14,REFUNDED,JRNL6805635
LED300039,REF93926371,MER1011,2026-08-01,DEBIT,PAYOUT,71547.74,INR,424.45,PENDING,JRNL3853153
LED300097,LEDGERREF19605885,MER1001,2026-08-07,CREDIT,REFUND,11674.74,INR,109.53,FAILED,JRNL2489899
LED300084,LEDGERREF37191342,MER1014,2026-08-07,CREDIT,RECEIVABLE,49244.04,INR,609.17,POSTED,JRNL7369489
LED300083,LEDGERREF84959254,MER1003,2026-08-13,CREDIT,SALES,74133.95,INR,1005.43,FAILED,JRNL3962934
LED300030,REF76890827,MER1003,2026-08-03,CREDIT,FEES,17021.37,INR,334.3,POSTED,JRNL9705455
LED300020,REF11698142,MER1004,2026-08-12,CREDIT,SALES,40072.71,INR,513.47,POSTED,JRNL6262148
LED300019,REF24972279,MER1012,2026-08-18,CREDIT,PAYOUT,64593.28,INR,1014.25,FAILED,JRNL6323112
LED300004,REF54446182,MER1001,2026-08-09,CREDIT,SALES,64860.38,INR,1021.6,POSTED,JRNL6476903
LED300081,REF13176186,MER1003,2026-08-07,CREDIT,REFUND,61289.85,INR,994.07,REFUNDED,JRNL1821999
LED300059,REF58112135,MER1012,2026-08-06,CREDIT,FEES,52076.59,INR,1227.24,POSTED,JRNL3760348
LED300025,REF65133300,MER1003,2026-08-15,CREDIT,SALES,69980.71,INR,954.79,REFUNDED,JRNL8621758
LED300015,REF79519112,MER1005,2026-08-13,CREDIT,PAYOUT,18487.84,INR,370.06,POSTED,JRNL8020633
LED300001,REF72005415,MER1013,2026-08-05,CREDIT,REFUND,71648.2,INR,1123.11,FAILED,JRNL8821567
LED300018,REF32151928,MER1004,2026-08-07,CREDIT,REFUND,20651.91,INR,416.39,POSTED,JRNL3265618
LED300064,REF55298556,MER1006,2026-08-07,CREDIT,SALES,4008.78,INR,90.91,REFUNDED,JRNL9100323
LED300051,REF95511909,MER1004,2026-08-21,CREDIT,RECEIVABLE,31912.29,INR,567.27,FAILED,JRNL7200836
LED300069,REF21003626,MER1004,2026-08-04,CREDIT,SALES,70634.31,INR,499.0,PENDING,JRNL9132969
LED300091,LEDGERREF65828463,MER1011,2026-08-20,CREDIT,FEES,72686.13,INR,884.84,FAILED,JRNL9436200
LED300048,GWREF48756252,MER1006,2026-08-31,CREDIT,REFUND,16081.92,INR,381.66,POSTED,JRNL2140912
LED300092,LEDGERREF92619194,MER1003,2026-08-11,DEBIT,REFUND,68858.43,INR,835.69,REFUNDED,JRNL7799698
LED300010,REF83542887,MER1015,2026-08-22,CREDIT,RECEIVABLE,56173.06,INR,359.37,POSTED,JRNL7550871
LED300053,REF15957459,MER1010,2026-08-20,CREDIT,REFUND,73269.03,INR,527.6,PENDING,JRNL1363395
LED300024,REF58024342,MER1015,2026-08-18,CREDIT,REFUND,11320.01,INR,232.32,FAILED,JRNL8756944
LED300008,REF20075036,MER1002,2026-08-21,CREDIT,PAYOUT,16024.13,INR,97.72,FAILED,JRNL3543078
LED300056,GWREF14176548,MER1013,2026-08-29,CREDIT,SALES,52444.19,INR,1080.45,POSTED,JRNL5132774
LED300096,LEDGERREF46413065,MER1009,2026-08-16,CREDIT,FEES,23898.65,INR,535.55,POSTED,JRNL7521664
LED300031,REF84593961,MER1002,2026-08-06,CREDIT,RECEIVABLE,28578.24,INR,434.57,REFUNDED,JRNL6376800
LED300060,REF45859307,MER1014,2026-08-24,CREDIT,SALES,65979.64,INR,1134.52,POSTED,JRNL9183109
LED300055,REF56397338,MER1011,2026-08-06,DEBIT,REFUND,43649.08,INR,907.96,POSTED,JRNL6185261
LED300071,REF21267237,MER1002,2026-08-18,CREDIT,SALES,2265.74,INR,53.44,PENDING,JRNL2676618
LED300100,LEDGERREF88286895,MER1015,2026-08-24,CREDIT,SALES,69355.43,INR,910.52,FAILED,JRNL2768033
LED300077,REF24665841,MER1006,2026-08-14,CREDIT,RECEIVABLE,30979.9,INR,531.03,FAILED,JRNL1418484
LED300034,REF40150759,MER1004,2026-08-10,CREDIT,FEES,38198.34,INR,886.22,POSTED,JRNL6036540
LED300094,LEDGERREF64410430,MER1006,2026-08-22,CREDIT,FEES,8800.61,INR,111.31,POSTED,JRNL8359909
LED300058,REF83300637,MER1015,2026-08-16,CREDIT,SALES,690.73,INR,8.2,PENDING,JRNL9171416
LED300076,REF56321751,MER1014,2026-08-27,DEBIT,RECEIVABLE,44123.59,INR,662.27,POSTED,JRNL1615587
LED300006,REF89978790,MER1005,2026-08-04,CREDIT,SALES,47126.59,INR,486.87,POSTED,JRNL9029636
LED300016,REF75437844,MER1005,2026-08-20,CREDIT,RECEIVABLE,50197.09,INR,592.85,POSTED,JRNL6944877
LED300098,LEDGERREF52667410,MER1009,2026-08-12,CREDIT,RECEIVABLE,58553.69,INR,472.83,PENDING,JRNL1224607
LED300003,GWREF28867317,MER1014,2026-08-26,DEBIT,SALES,59395.77,INR,1234.05,POSTED,JRNL9753104
LED300021,REF55667651,MER1009,2026-08-08,CREDIT,PAYOUT,33828.38,INR,773.61,POSTED,JRNL3808157
LED300095,LEDGERREF63411309,MER1004,2026-08-09,DEBIT,PAYOUT,66053.92,INR,1217.49,POSTED,JRNL7250959
LED300013,REF95756900,MER1007,2026-08-21,DEBIT,FEES,41108.21,INR,919.54,POSTED,JRNL9944764
LED300026,GWREF59357880,MER1006,2026-08-12,CREDIT,RECEIVABLE,46791.88,INR,1026.15,POSTED,JRNL8599556
LED300093,LEDGERREF73693890,MER1002,2026-08-08,DEBIT,RECEIVABLE,17046.13,INR,157.51,POSTED,JRNL1734765
LED300047,REF49491631,MER1006,2026-08-18,CREDIT,REFUND,56922.81,INR,1249.28,REFUNDED,JRNL8302112
LED300027,GWREF71919280,MER1003,2026-08-14,CREDIT,FEES,71166.47,INR,877.4,POSTED,JRNL3034972
LED300022,GWREF18170504,MER1001,2026-08-06,CREDIT,FEES,20754.77,INR,149.57,POSTED,JRNL7766335
LED300062,GWREF34650855,MER1010,2026-08-15,CREDIT,RECEIVABLE,10728.63,INR,238.2,REFUNDED,JRNL4073853
LED300089,LEDGERREF62209932,MER1004,2026-08-09,CREDIT,SALES,10151.13,INR,137.52,FAILED,JRNL7297559
LED300032,GWREF96008576,MER1014,2026-08-01,CREDIT,RECEIVABLE,7076.68,INR,165.05,PENDING,JRNL4005798
LED300099,LEDGERREF82029381,MER1005,2026-08-30,CREDIT,SALES,62708.19,INR,1179.2,POSTED,JRNL3261662
LED300050,REF75181648,MER1008,2026-08-02,CREDIT,FEES,48997.83,INR,575.41,POSTED,JRNL1003526
LED300065,REF77834855,MER1002,2026-08-05,CREDIT,REFUND,20608.03,INR,472.95,PENDING,JRNL9739927
LED300075,REF17672593,MER1005,2026-08-07,CREDIT,SALES,22428.91,INR,231.16,POSTED,JRNL5600633
LED300007,REF71045700,MER1012,2026-08-11,DEBIT,REFUND,31020.47,INR,716.82,POSTED,JRNL1708195
LED300087,LEDGERREF30363308,MER1002,2026-08-31,CREDIT,REFUND,23500.16,INR,213.04,POSTED,JRNL7069206
LED300057,REF29413516,MER1006,2026-08-23,CREDIT,FEES,20688.51,INR,317.4,REFUNDED,JRNL5755802
LED300074,REF15831819,MER1013,2026-08-04,DEBIT,REFUND,7182.75,INR,128.83,POSTED,JRNL3237052
LED300023,REF82399599,MER1008,2026-08-24,CREDIT,SALES,71352.51,INR,722.6,POSTED,JRNL7640647
LED300054,REF99501846,MER1002,2026-08-30,CREDIT,FEES,43841.0,INR,974.71,POSTED,JRNL5275839
LED300052,REF12621534,MER1015,2026-08-18,CREDIT,FEES,35077.84,INR,678.91,REFUNDED,JRNL3768122
LED300049,REF34850391,MER1008,2026-08-10,CREDIT,SALES,19042.42,INR,101.42,PENDING,JRNL1836735
LED300036,GWREF11280634,MER1005,2026-08-20,CREDIT,RECEIVABLE,52029.67,INR,619.73,POSTED,JRNL1158032
LED300045,REF26690465,MER1007,2026-08-03,CREDIT,PAYOUT,4707.94,INR,55.63,POSTED,JRNL2285712
LED300073,REF83197857,MER1003,2026-08-21,CREDIT,REFUND,8572.0,INR,170.43,REFUNDED,JRNL6474791
LED300011,REF34744872,MER1007,2026-08-28,CREDIT,FEES,1149.34,INR,6.42,POSTED,JRNL9015851
LED300042,GWREF48663829,MER1004,2026-08-25,DEBIT,SALES,40069.79,INR,829.44,PENDING,JRNL9264725
LED300017,REF64807553,MER1003,2026-08-06,CREDIT,RECEIVABLE,74771.67,INR,562.25,FAILED,JRNL4853581
LED300063,REF31931511,MER1008,2026-08-23,DEBIT,REFUND,70264.93,INR,413.34,POSTED,JRNL5529441
LED300009,GWREF37642288,MER1007,2026-08-22,CREDIT,RECEIVABLE,43721.28,INR,328.91,FAILED,JRNL4189457
LED300005,REF83227889,MER1003,2026-08-18,CREDIT,REFUND,52998.64,INR,585.9,FAILED,JRNL2928067
LED300067,REF93394260,MER1010,2026-08-21,CREDIT,REFUND,5379.22,INR,81.13,PENDING,JRNL9152878
LED300035,GWREF36953743,MER1011,2026-08-19,CREDIT,REFUND,51873.43,INR,317.85,POSTED,JRNL9841911
LED300085,LEDGERREF25076925,MER1003,2026-08-26,CREDIT,RECEIVABLE,58391.19,INR,519.05,POSTED,JRNL9196058
LED300079,GWREF34696401,MER1002,2026-08-02,CREDIT,RECEIVABLE,18358.87,INR,193.11,POSTED,JRNL2936215
LED300070,REF76238574,MER1004,2026-08-24,CREDIT,PAYOUT,43947.8,INR,1015.99,POSTED,JRNL2966070
LED300078,GWREF57049001,MER1009,2026-08-30,CREDIT,REFUND,63990.81,INR,422.19,REFUNDED,JRNL3461779
LED300012,REF47376585,MER1009,2026-08-08,DEBIT,PAYOUT,5288.17,INR,111.83,PENDING,JRNL2242354
LED300082,REF93638503,MER1002,2026-08-30,CREDIT,RECEIVABLE,60536.69,INR,1224.89,FAILED,JRNL9006294
LED300040,REF93352876,MER1003,2026-08-15,CREDIT,RECEIVABLE,66922.8,INR,1237.9,POSTED,JRNL6689154
LED300038,GWREF48023825,MER1011,2026-08-23,CREDIT,SALES,44637.39,INR,568.94,POSTED,JRNL5603530
LED300046,REF67985905,MER1012,2026-08-31,DEBIT,SALES,20600.4,INR,294.95,FAILED,JRNL2289007
LED300061,REF45935572,MER1002,2026-08-08,CREDIT,REFUND,51424.92,INR,270.32,POSTED,JRNL7467233
LED300080,REF30364454,MER1004,2026-08-04,DEBIT,SALES,61703.14,INR,413.53,POSTED,JRNL1949020
LED300029,REF22660194,MER1014,2026-08-05,CREDIT,REFUND,54320.6,INR,541.48,REFUNDED,JRNL4616078
LED300043,REF20570592,MER1005,2026-08-30,CREDIT,REFUND,73902.77,INR,1756.32,POSTED,JRNL4816130
LED300090,LEDGERREF30380465,MER1007,2026-08-03,DEBIT,RECEIVABLE,74545.38,INR,1325.61,POSTED,JRNL2380018
LED300044,REF68246664,MER1013,2026-08-02,CREDIT,PAYOUT,46405.09,INR,529.6,FAILED,JRNL4930016
LED300028,REF78608612,MER1004,2026-08-07,CREDIT,RECEIVABLE,32384.14,INR,170.05,REFUNDED,JRNL5168310
