order_id,customer_id,merchant_id,order_amount,currency,order_date,status
ORD0001,CUST0020,MER011,999,USD,2026-08-26 16:17:00,COMPLETED
ORD0002,CUST0018,MER009,24999,INR,2026-08-08 16:21:00,COMPLETED
ORD0003,CUST0053,MER001,1499,USD,2026-08-21 12:42:00,COMPLETED
ORD0004,CUST0015,MER005,499,INR,2026-08-03 20:47:00,COMPLETED
ORD0005,CUST0064,MER010,99,INR,2026-08-05 20:51:00,COMPLETED
ORD0006,CUST0017,MER004,2499,INR,2026-08-16 20:11:00,CANCELLED
ORD0007,CUST0053,MER012,299,INR,2026-08-01 21:12:00,PENDING
ORD0008,CUST0061,MER008,499,INR,2026-08-18 21:39:00,COMPLETED
ORD0009,CUST0010,MER010,299,INR,2026-08-20 18:44:00,COMPLETED
ORD0010,CUST0028,MER006,999,USD,2026-08-27 17:36:00,COMPLETED
ORD0011,CUST0044,MER003,499,INR,2026-08-03 20:29:00,COMPLETED
ORD0012,CUST0053,MER008,199,INR,2026-08-02 18:37:00,COMPLETED
ORD0013,CUST0015,MER003,149,INR,2026-08-03 09:46:00,COMPLETED
ORD0014,CUST0013,MER012,1499,INR,2026-08-11 14:35:00,COMPLETED
ORD0015,CUST0054,MER008,1499,USD,2026-08-24 14:22:00,COMPLETED
ORD0016,CUST0064,MER006,199,USD,2026-08-02 19:29:00,COMPLETED
ORD0017,CUST0025,MER012,499,INR,2026-08-17 15:23:00,PENDING
ORD0018,CUST0038,MER009,299,INR,2026-08-05 20:50:00,CANCELLED
ORD0019,CUST0048,MER005,149,INR,2026-08-25 13:05:00,PENDING
ORD0020,CUST0061,MER004,2499,USD,2026-08-24 17:50:00,COMPLETED
ORD0021,CUST0005,MER006,499,INR,2026-08-05 14:58:00,CANCELLED
ORD0022,CUST0024,MER008,199,INR,2026-08-22 16:46:00,COMPLETED
ORD0023,CUST0048,MER007,24999,USD,2026-08-28 17:51:00,COMPLETED
ORD0024,CUST0002,MER006,299,INR,2026-08-22 14:51:00,COMPLETED
ORD0025,CUST0050,MER005,1499,USD,2026-08-04 18:28:00,PENDING
ORD0026,CUST0031,MER006,9999,INR,2026-08-26 10:34:00,COMPLETED
ORD0027,CUST0053,MER005,149,USD,2026-08-23 16:32:00,COMPLETED
ORD0028,CUST0065,MER004,99,USD,2026-08-01 10:53:00,COMPLETED
ORD0029,CUST0056,MER010,199,USD,2026-08-28 19:49:00,PENDING
ORD0030,CUST0063,MER012,999,INR,2026-08-05 17:56:00,PENDING
ORD0031,CUST0058,MER003,4999,INR,2026-08-09 20:52:00,CANCELLED
ORD0032,CUST0070,MER007,24999,INR,2026-08-24 13:21:00,COMPLETED
ORD0033,CUST0048,MER004,999,INR,2026-08-04 14:32:00,CANCELLED
ORD0034,CUST0023,MER005,299,INR,2026-08-27 19:00:00,COMPLETED
ORD0035,CUST0052,MER002,199,USD,2026-08-10 11:56:00,CANCELLED
ORD0036,CUST0060,MER001,2499,INR,2026-08-21 10:02:00,COMPLETED
ORD0037,CUST0042,MER001,199,USD,2026-08-10 12:13:00,PENDING
ORD0038,CUST0010,MER011,499,INR,2026-08-06 17:47:00,COMPLETED
ORD0039,CUST0012,MER012,299,INR,2026-08-06 14:35:00,COMPLETED
ORD0040,CUST0065,MER011,99,INR,2026-08-17 10:49:00,PENDING
ORD0041,CUST0029,MER008,1499,INR,2026-08-17 10:30:00,PENDING
ORD0042,CUST0021,MER011,2499,USD,2026-08-09 21:58:00,COMPLETED
ORD0043,CUST0019,MER003,199,INR,2026-08-22 15:13:00,COMPLETED
ORD0044,CUST0069,MER002,799,USD,2026-08-14 17:19:00,COMPLETED
ORD0045,CUST0052,MER009,9999,USD,2026-08-22 11:52:00,COMPLETED
ORD0046,CUST0056,MER001,4999,INR,2026-08-19 15:19:00,PENDING
ORD0047,CUST0010,MER002,99,INR,2026-08-29 19:15:00,COMPLETED
ORD0048,CUST0055,MER005,799,USD,2026-08-19 11:28:00,COMPLETED
ORD0049,CUST0006,MER011,7499,INR,2026-08-19 14:11:00,COMPLETED
ORD0050,CUST0030,MER001,24999,INR,2026-08-30 17:42:00,COMPLETED
ORD0051,CUST0062,MER009,24999,INR,2026-08-18 13:17:00,CANCELLED
ORD0052,CUST0011,MER004,1999,INR,2026-08-29 20:28:00,CANCELLED
ORD0053,CUST0040,MER008,149,INR,2026-08-31 15:11:00,COMPLETED
ORD0054,CUST0026,MER011,7499,INR,2026-08-02 10:11:00,COMPLETED
ORD0055,CUST0037,MER006,299,INR,2026-08-26 10:54:00,CANCELLED
ORD0056,CUST0034,MER008,149,USD,2026-08-14 10:34:00,CANCELLED
ORD0057,CUST0055,MER004,4999,INR,2026-08-18 19:37:00,CANCELLED
ORD0058,CUST0027,MER005,1999,USD,2026-08-12 20:06:00,COMPLETED
ORD0059,CUST0046,MER007,799,INR,2026-08-14 16:48:00,COMPLETED
ORD0060,CUST0034,MER009,199,INR,2026-08-19 12:41:00,COMPLETED
ORD0061,CUST0029,MER011,4999,INR,2026-08-20 18:38:00,PENDING
ORD0062,CUST0048,MER008,2499,USD,2026-08-19 14:02:00,PENDING
ORD0063,CUST0008,MER008,99,INR,2026-08-06 18:38:00,COMPLETED
ORD0064,CUST0059,MER006,499,INR,2026-08-04 16:48:00,COMPLETED
ORD0065,CUST0069,MER010,1999,INR,2026-08-19 15:22:00,CANCELLED
ORD0066,CUST0024,MER004,799,INR,2026-08-18 20:03:00,COMPLETED
ORD0067,CUST0009,MER008,499,INR,2026-08-13 13:37:00,COMPLETED
ORD0068,CUST0028,MER011,4999,USD,2026-08-01 19:32:00,CANCELLED
ORD0069,CUST0031,MER012,99,INR,2026-08-23 17:59:00,PENDING
ORD0070,CUST0017,MER007,999,INR,2026-08-22 17:55:00,PENDING
ORD0071,CUST0028,MER008,3499,INR,2026-08-07 18:45:00,COMPLETED
ORD0072,CUST0052,MER008,2499,INR,2026-08-09 14:23:00,CANCELLED
ORD0073,CUST0020,MER011,1999,USD,2026-08-24 17:15:00,CANCELLED
ORD0074,CUST0006,MER007,149,INR,2026-08-23 19:36:00,COMPLETED
ORD0075,CUST0011,MER010,7499,INR,2026-08-23 17:31:00,COMPLETED
ORD0076,CUST0003,MER006,199,INR,2026-08-31 13:26:00,COMPLETED
ORD0077,CUST0032,MER012,49,INR,2026-08-09 15:52:00,COMPLETED
ORD0078,CUST0015,MER011,14999,INR,2026-08-31 17:32:00,PENDING
ORD0079,CUST0017,MER011,799,USD,2026-08-22 21:03:00,CANCELLED
ORD0080,CUST0060,MER010,7499,INR,2026-08-05 10:11:00,COMPLETED
ORD0081,CUST0038,MER001,299,INR,2026-08-09 11:25:00,COMPLETED
ORD0082,CUST0023,MER006,999,INR,2026-08-11 14:20:00,COMPLETED
ORD0083,CUST0054,MER009,999,INR,2026-08-24 20:06:00,COMPLETED
ORD0084,CUST0029,MER004,7499,INR,2026-08-26 17:45:00,COMPLETED
ORD0085,CUST0049,MER011,49,USD,2026-08-04 18:33:00,COMPLETED
ORD0086,CUST0002,MER003,1999,INR,2026-08-24 10:04:00,COMPLETED
ORD0087,CUST0059,MER008,799,INR,2026-08-18 20:39:00,COMPLETED
ORD0088,CUST0028,MER012,7499,INR,2026-08-01 13:57:00,CANCELLED
ORD0089,CUST0023,MER008,49,INR,2026-08-02 10:53:00,PENDING
ORD0090,CUST0004,MER005,24999,INR,2026-08-27 18:08:00,COMPLETED
ORD0091,CUST0067,MER002,9999,INR,2026-08-20 17:51:00,COMPLETED
ORD0092,CUST0006,MER005,999,INR,2026-08-09 11:49:00,COMPLETED
ORD0093,CUST0025,MER001,499,INR,2026-08-07 21:16:00,COMPLETED
ORD0094,CUST0010,MER010,199,INR,2026-08-16 20:02:00,PENDING
ORD0095,CUST0038,MER002,499,INR,2026-08-04 21:44:00,COMPLETED
ORD0096,CUST0026,MER002,24999,USD,2026-08-03 19:02:00,COMPLETED
ORD0097,CUST0064,MER012,499,INR,2026-08-26 10:04:00,COMPLETED
ORD0098,CUST0056,MER006,3499,INR,2026-08-10 11:28:00,PENDING
ORD0099,CUST0027,MER012,49,INR,2026-08-27 13:12:00,COMPLETED
ORD0100,CUST0007,MER006,799,INR,2026-08-17 17:24:00,CANCELLED
