payment_id,order_id,customer_reference,amount_paid,currency,payment_method,payment_date,status,gateway_reference
PAY62082,ORD0001,CUST0020,999.0,USD,NETBANKING,2026-08-26 18:26:00,SUCCESS,GW43306395
PAY27307,ORD0002,CUST0018,24999.0,INR,UPI,2026-08-08 17:31:00,SUCCESS,GW59006447
PAY77805,ORD0003,CUST0053,0.0,USD,NETBANKING,2026-08-21 13:40:00,FAILED,GW81329473
PAY99100,ORD0004,CUST0015,499.0,INR,CARD,2026-08-03 21:10:00,SUCCESS,GW58269716
PAY99734,ORD0005,CUST0064,99.0,INR,UPI,2026-08-05 21:42:00,SUCCESS,GW65047621
PAY33401,ORD0006,CUST0017,2499.0,INR,NETBANKING,2026-08-16 22:40:00,SUCCESS,GW73732029
PAY26000,ORD0007,CUST0053,299.0,INR,WALLET,2026-08-01 23:36:00,SUCCESS,GW69034940
PAY58815,ORD0008,CUST0061,503.99,INR,UPI,2026-08-18 23:30:00,SUCCESS,GW81869164
PAY78052,ORD0009,CUST0010,299.0,INR,CARD,2026-08-20 21:25:00,PENDING,GW27820914
PAY63232,ORD0010,CUST0028,0.0,USD,NETBANKING,2026-08-27 17:44:00,FAILED,GW47062667
PAY69951,ORD0011,CUST0044,499.0,INR,NETBANKING,2026-08-03 22:48:00,SUCCESS,GW55469645
PAY80575,ORD0012,CUST0053,199.0,INR,UPI,2026-08-02 20:05:00,SUCCESS,GW33931317
PAY67367,ORD0013,CUST0015,149.0,INR,NETBANKING,2026-08-03 12:21:00,SUCCESS,GW36657089
PAY41858,ORD0014,CUST0013,1484.01,INR,WALLET,2026-08-11 15:07:00,SUCCESS,GW88590960
PAY48111,ORD0015,CUST0054,1499.0,USD,WALLET,2026-08-24 16:19:00,SUCCESS,GW13835239
PAY98226,ORD0016,CUST0064,200.99,USD,CARD,2026-08-02 20:05:00,SUCCESS,GW33159028
PAY67959,ORD0017,CUST0025,499.0,INR,UPI,2026-08-17 18:16:00,SUCCESS,GW50289599
PAY83612,ORD0018,CUST0038,0.0,INR,NETBANKING,2026-08-05 21:38:00,FAILED,GW53509188
PAY20958,ORD0019,CUST0048,0.0,INR,WALLET,2026-08-25 15:42:00,FAILED,GW32212895
PAY20690,ORD0020,CUST0061,2499.0,USD,UPI,2026-08-24 19:38:00,PENDING,GW34913507
PAY12538,ORD0021,CUST0005,499.0,INR,CARD,2026-08-05 15:59:00,PENDING,GW25459160
PAY76618,ORD0022,CUST0024,199.0,INR,WALLET,2026-08-22 18:19:00,PENDING,GW11212537
PAY26700,ORD0023,CUST0048,24999.0,USD,NETBANKING,2026-08-28 18:52:00,PENDING,GW30411449
PAY26132,ORD0024,CUST0002,299.0,INR,WALLET,2026-08-22 14:52:00,SUCCESS,GW48105148
PAY37731,ORD0025,CUST0050,0.0,USD,UPI,2026-08-04 20:03:00,FAILED,GW56667893
