settlement_id,payment_reference,merchant_reference,gross_amount,processing_fee,settled_amount,currency,settlement_date,settlement_status,settlement_channel,bank_reference
SET93437,PAY83612,ORD0018,0.0,0.0,0.0,INR,2026-08-09 21:38:00,SETTLED,BANK_TRANSFER,BANK83073807
SET30797,PAY78389,ORD0094,199.0,3.53,195.47,INR,2026-08-20 20:49:00,FAILED,NEFT,BANK60166399
SET36841,PAY67367,ORD0013,149.0,3.55,145.45,INR,2026-08-08 12:21:00,FAILED,IMPS,BANK47632764
SET57327,PAY33121,ORD0066,791.01,8.41,782.6,INR,2026-08-20 21:11:00,SETTLED,IMPS,BANK34330689
SET29867,PAY60649,ORD0080,7499.0,63.26,7435.74,INR,2026-08-07 13:02:00,SETTLED,IMPS,BANK25542256
SET38577,PAY99100,ORD0004,499.0,4.32,494.68,INR,2026-08-08 21:10:00,SETTLED,IMPS,BANK88055365
SET99080,PAY35878,ORD0070,999.0,13.56,985.44,INR,2026-08-24 20:40:00,FAILED,IMPS,BANK81110526
SET13326,PAY64824,ORD0063,98.01,1.0,97.01,INR,2026-08-08 18:52:00,SETTLED,BANK_TRANSFER,BANK55992500
SET79782,PAY54308,ORD0058,0.0,0.0,0.0,USD,2026-08-17 20:59:00,FAILED,BANK_TRANSFER,BANK59837535
SET40383,PAY73222,ORD0033,999.0,16.74,982.26,INR,2026-08-05 15:19:00,FAILED,IMPS,BANK30620789
SET81378,PAY62112,ORD0028,99.0,1.14,97.86,USD,2026-08-02 12:40:00,SETTLED,IMPS,BANK42026093
SET91713,PAY82010,ORD0081,299.0,3.57,295.43,INR,2026-08-10 12:39:00,FAILED,BANK_TRANSFER,BANK10469851
SET65869,PAY49134,ORD0051,24749.01,612.38,24136.63,INR,2026-08-20 13:49:00,PENDING,BANK_TRANSFER,BANK58164698
SET56392,PAY62655,ORD0052,0.0,0.0,0.0,INR,2026-08-31 21:39:00,SETTLED,BANK_TRANSFER,BANK35149675
SET32841,PAY80575,ORD0012,199.0,2.93,196.07,INR,2026-08-03 20:05:00,SETTLED,NEFT,BANK96721399
SET98418,PAY20298,ORD0036,2499.0,40.73,2458.27,INR,2026-08-25 10:39:00,SETTLED,BANK_TRANSFER,BANK97045609
SET77983,PAY35920,ORD0056,149.0,3.47,145.53,USD,2026-08-17 12:00:00,SETTLED,IMPS,BANK56443279
SET26644,PAY77805,ORD0003,0.0,0.0,0.0,USD,2026-08-22 13:40:00,SETTLED,IMPS,BANK40136289
SET20967,PAY62082,ORD0001,999.0,17.97,981.03,USD,2026-08-31 18:26:00,SETTLED,IMPS,BANK52222571
SET98383,PAY51551,ORD0038,0.0,0.0,0.0,INR,2026-08-07 20:45:00,SETTLED,NEFT,BANK12878167
SET27614,PAY48319,ORD0100,799.0,16.7,782.3,INR,2026-08-21 17:31:00,PENDING,IMPS,BANK45896153
